gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
MND2,mitotic sister chromatid segregation*,molecular function unknown,YIR025W,1085792,G,0.1,0.57
,biological process unknown,molecular function unknown,YPR148C,1082544,G,0.1,0.96
STP2,positive regulation of transcription from RNA polymerase II promoter,specific RNA polymerase II transcription factor activity,YHR006W,1083422,G,0.1,0.83
TFG1,transcription initiation from RNA polymerase II promoter,general RNA polymerase II transcription factor activity,YGR186W,1084533,G,0.1,0.37
RAD2,"nucleotide-excision repair, DNA incision, 3'-to lesion",single-stranded DNA specific endodeoxyribonuclease activity,YGR258C,1084001,G,0.1,0.36
SPT3,sporulation (sensu Fungi)*,transcription cofactor activity,YDR392W,1085196,G,0.1,0.5
BUR6,negative regulation of transcription from RNA polymerase II promoter,transcription corepressor activity,YER159C,1086894,G,0.1,0.58
DON1,meiosis*,molecular function unknown,YDR273W,1085382,G,0.1,0.91
,biological process unknown,molecular function unknown,YGR130C,1080864,G,0.1,0.53
RVS167,endocytosis*,cytoskeletal protein binding,YDR388W,1081019,G,0.1,0.23
,biological process unknown,molecular function unknown,YPL247C,1084787,G,0.1,0.09
TPS1,response to stress*,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",YBR126C,1085765,G,0.1,0.19
GID7,negative regulation of gluconeogenesis,molecular function unknown,YCL039W,1083594,G,0.1,0.3
RTS3,protein amino acid dephosphorylation,protein phosphatase type 2A activity,YGR161C,1084945,G,0.1,1.13
SDS24,endocytosis*,molecular function unknown,YBR214W,1085879,G,0.1,1.41
WAR1,response to acid,transcription factor activity,YML076C,1085155,G,0.1,0.36
,biological process unknown,molecular function unknown,YCR076C,1086134,G,0.1,0.91
HAP1,aerobic respiration*,specific RNA polymerase II transcription factor activity,YLR256W,1083865,G,0.1,0.55
,biological process unknown,cyclin binding,YJL084C,1082301,G,0.1,0.49
MNR2,magnesium ion transport,magnesium ion transporter activity,YKL064W,1084856,G,0.1,0.56
YRF1-3,telomerase-independent telomere maintenance,DNA helicase activity,YGR296W,1081731,G,0.1,0.93
,biological process unknown,helicase activity,YIL177C,1086027,G,0.1,0.99
,biological process unknown,DNA helicase activity,YPR204W,1084895,G,0.1,1
,biological process unknown,helicase activity,YJL225C,1085531,G,0.1,1.04
YRF1-2,telomerase-independent telomere maintenance,DNA helicase activity,YER190W,1083246,G,0.1,1
YRF1-6,telomerase-independent telomere maintenance,DNA helicase activity,YNL339C,1080710,G,0.1,0.99
,biological process unknown,helicase activity,YML133C,1083587,G,0.1,0.9
,biological process unknown,molecular function unknown,YHR219W,1084087,G,0.1,0.93
,biological process unknown,helicase activity,YLL066C,1083552,G,0.1,0.96
YRF1-1,telomerase-independent telomere maintenance,DNA helicase activity,YDR545W,1081111,G,0.1,0.92
YRF1-4,telomerase-independent telomere maintenance,DNA helicase activity,YLR466W,1083852,G,0.1,0.92
,biological process unknown,helicase activity,YOR396W,1086399,G,0.1,0.96
YRF1-5,telomerase-independent telomere maintenance,DNA helicase activity,YLR467W,1081354,G,0.1,0.92
YRF1-7,telomerase-independent telomere maintenance,DNA helicase activity,YPL283C,1082944,G,0.1,0.96
,biological process unknown,helicase activity,YBL113C,1081765,G,0.1,0.88
,biological process unknown,helicase activity,YEL077C,1082656,G,0.1,0.93
,biological process unknown,helicase activity,YLL067C,1085059,G,0.1,1.26
CDC48,ubiquitin-dependent protein catabolism*,ATPase activity,YDL126C,1086324,G,0.1,0.54
ATG2,protein-vacuolar targeting*,molecular function unknown,YNL242W,1083149,G,0.1,0.9
KOG1,biological process unknown,molecular function unknown,YHR186C,1084784,G,0.1,0.3
SIP5,cellular response to glucose starvation,molecular function unknown,YMR140W,1085302,G,0.1,0.76
PRB1,sporulation*,serine-type endopeptidase activity,YEL060C,1082757,G,0.1,0.65
MCM3,DNA replication initiation*,chromatin binding*,YEL032W,1086249,G,0.1,0.25
MIP1,DNA-dependent DNA replication*,gamma DNA-directed DNA polymerase activity,YOR330C,1081464,G,0.1,0.25
KIC1,cell wall organization and biogenesis*,kinase activity,YHR102W,1081602,G,0.1,0.24
,biological process unknown,molecular function unknown,YOR223W,1086438,G,0.1,0.49
DDI1,ubiquitin-dependent protein catabolism*,SNARE binding,YER143W,1086496,G,0.1,0.56
NUP116,mRNA-nucleus export*,structural molecule activity,YMR047C,1083197,G,0.1,0.48
PHO23,chromatin modification,histone deacetylase activity,YNL097C,1083038,G,0.1,0.42
TAF7,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity,YMR227C,1082339,G,0.1,0.17
CUE5,biological process unknown,molecular function unknown,YOR042W,1082091,G,0.1,0.35
VPS13,sporulation (sensu Fungi)*,molecular function unknown,YLL040C,1082012,G,0.1,0.35
TOR2,endocytosis*,protein binding*,YKL203C,1086401,G,0.1,0.4
,biological process unknown,molecular function unknown,YLR312C,1082789,G,0.1,2.52
GDH2,nitrogen compound metabolism,glutamate dehydrogenase activity,YDL215C,1081443,G,0.1,2.46
,proteolysis and peptidolysis,protein kinase activity,YKL171W,1085812,G,0.1,0.65
,,,YLL020C,1081819,G,0.1,1.08
GAL11,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity,YOL051W,1081953,G,0.1,0.23
,biological process unknown,molecular function unknown,YBR225W,1083261,G,0.1,-0.03
SMP2,aerobic respiration*,molecular function unknown,YMR165C,1082140,G,0.1,0.24
,biological process unknown,molecular function unknown,YPR115W,1086918,G,0.1,0.09
ERG7,ergosterol biosynthesis,lanosterol synthase activity,YHR072W,1086748,G,0.1,0.53
,biological process unknown,molecular function unknown,YOR052C,1082245,G,0.1,0.64
ROD1,response to drug,molecular function unknown,YOR018W,1086572,G,0.1,0.19
MSN2,response to stress*,DNA binding*,YMR037C,1084253,G,0.1,0.18
OAF1,peroxisome organization and biogenesis*,DNA binding*,YAL051W,1082116,G,0.1,0.25
BZZ1,actin filament organization*,molecular function unknown,YHR114W,1085603,G,0.1,0.35
ICT1,biological process unknown,molecular function unknown,YLR099C,1083812,G,0.1,0.86
AKL1,actin cytoskeleton organization and biogenesis*,protein kinase activity,YBR059C,1085921,G,0.1,0.31
ERR3,biological process unknown,phosphopyruvate hydratase activity,YMR323W,1083995,G,0.1,0.64
RDR1,response to xenobiotic stimulus,transcription factor activity,YOR380W,1086831,G,0.1,0.18
,biological process unknown,molecular function unknown,YLR194C,1086758,G,0.1,1.81
HUA1,actin cortical patch assembly,molecular function unknown,YGR268C,1083628,G,0.1,0.84
VPS27,protein retention in Golgi*,protein binding,YNR006W,1084793,G,0.1,0.57
ACC1,protein-nucleus import*,acetyl-CoA carboxylase activity*,YNR016C,1081971,G,0.1,1.14
,biological process unknown,molecular function unknown,YIL055C,1086869,G,0.1,1.48
PAU7,biological process unknown,molecular function unknown,YAR020C,1085046,G,0.1,0.57
,biological process unknown,molecular function unknown,YPL222W,1086237,G,0.1,1.42
,biological process unknown,kinase activity,YIL042C,1081255,G,0.1,1.06
FAS2,fatty acid biosynthesis*,phosphopantetheinyltransferase activity*,YPL231W,1082392,G,0.1,0.7
UBX5,ubiquitin-dependent protein catabolism,molecular function unknown,YDR330W,1084267,G,0.1,0.52
,biological process unknown,molecular function unknown,YPL230W,1085008,G,0.1,1.25
GYP7,vesicle-mediated transport,Rab GTPase activator activity,YDL234C,1081912,G,0.1,1.16
,,,YHR095W,1082713,G,0.1,1.05
,biological process unknown,molecular function unknown,YEL020C,1084169,G,0.1,1.17
DAN2,biological process unknown,molecular function unknown,YLR037C,1084153,G,0.1,0.53
,biological process unknown,molecular function unknown,YLR278C,1085729,G,0.1,0.56
DFG5,pseudohyphal growth*,molecular function unknown,YMR238W,1081225,G,0.1,0.59
,biological process unknown,molecular function unknown,YKL050C,1081876,G,0.1,0.67
NAB6,biological process unknown,RNA binding,YML117W,1085226,G,0.1,0.29
,biological process unknown,molecular function unknown,YIR014W,1082482,G,0.1,0.7
IES1,chromatin remodeling,molecular function unknown,YFL013C,1082749,G,0.1,0.29
HFA1,fatty acid biosynthesis,acetyl-CoA carboxylase activity,YMR207C,1082098,G,0.1,0.42
PRP12,rRNA processing*,exonuclease activity,YMR302C,1081992,G,0.1,0.57
HEM14,heme biosynthesis,protoporphyrinogen oxidase activity,YER014W,1082886,G,0.1,0.59
FAB1,response to stress*,1-phosphatidylinositol-3-phosphate 5-kinase activity,YFR019W,1081534,G,0.1,0.62
PDC2,transcription from RNA polymerase II promoter*,transcription regulator activity,YDR081C,1085610,G,0.1,0.23
SIN3,regulation of transcription from RNA polymerase II promoter*,histone deacetylase activity,YOL004W,1081526,G,0.1,0.21
MKS1,regulation of nitrogen utilization,transcriptional repressor activity,YNL076W,1085041,G,0.1,0.01
LSB5,endocytosis*,molecular function unknown,YCL034W,1083603,G,0.1,0.43
SNF5,chromatin remodeling,general RNA polymerase II transcription factor activity,YBR289W,1086284,G,0.1,0.01
,biological process unknown,molecular function unknown,YBR071W,1082724,G,0.1,0.99
,biological process unknown,molecular function unknown,YNL295W,1086513,G,0.1,0.21
,biological process unknown,molecular function unknown,YKL222C,1082341,G,0.1,0.55
ECM5,cell wall organization and biogenesis,molecular function unknown,YMR176W,1083742,G,0.1,0.42
ULP1,G2/M transition of mitotic cell cycle*,cysteine-type peptidase activity*,YPL020C,1081823,G,0.1,0.16
,biological process unknown,molecular function unknown,YOL024W,1084381,G,0.1,0.36
,biological process unknown,molecular function unknown,YNL168C,1085744,G,0.1,0.41
CRD1,mitochondrial membrane organization and biogenesis*,cardiolipin synthase activity,YDL142C,1085175,G,0.1,0.46
RXT3,chromatin silencing,histone deacetylase activity,YDL076C,1083259,G,0.1,0.8
PRP4,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism",YPR178W,1084456,G,0.1,0.52
,,,YHR130C,1086563,G,0.1,0.73
PEX7,peroxisome organization and biogenesis*,peroxisome targeting signal receptor activity*,YDR142C,1085090,G,0.1,0.21
ARH1,iron ion homeostasis*,NADPH-adrenodoxin reductase activity,YDR376W,1081758,G,0.1,0.41
SGF29,histone acetylation,molecular function unknown,YCL010C,1081496,G,0.1,0.46
APM2,vesicle-mediated transport,clathrin binding,YHL019C,1081653,G,0.1,0.49
SIN4,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity,YNL236W,1081951,G,0.1,0.09
MCA1,apoptosis,caspase activity,YOR197W,1084014,G,0.1,0.33
VAM7,vesicle fusion*,v-SNARE activity,YGL212W,1081787,G,0.1,0.34
RAV1,vacuolar acidification*,molecular function unknown,YJR033C,1082464,G,0.1,0.06
,,,YKL031W,1081753,G,0.1,0.22
AUA1,amino acid transport,molecular function unknown,YFL010W-A,1081628,G,0.1,0.34
,transport,"ATPase activity, coupled to transmembrane movement of substances",YKR104W,1081776,G,0.1,0.21
ACF2,actin cytoskeleton organization and biogenesis,"glucan 1,3-beta-glucosidase activity",YLR144C,1083635,G,0.1,0.17
PIG1,regulation of glycogen biosynthesis,protein phosphatase regulator activity,YLR273C,1081491,G,0.1,0.64
PRP16,formation of catalytic U2-type spliceosome for second transesterification step,"RNA splicing factor activity, transesterification mechanism*",YKR086W,1085929,G,0.1,0.15
TAO3,cellular morphogenesis*,molecular function unknown,YIL129C,1081909,G,0.1,0.38
CDC25,regulation of progression through cell cycle*,Ras guanyl-nucleotide exchange factor activity,YLR310C,1086124,G,0.1,0.42
PDR1,regulation of transcription from RNA polymerase II promoter*,DNA binding*,YGL013C,1084910,G,0.1,0.77
PCL8,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity,YPL219W,1083849,G,0.1,0.48
TOR1,meiosis*,protein binding*,YJR066W,1081272,G,0.1,0.36
EPL1,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity,YFL024C,1080672,G,0.1,0.23
SNU114,"nuclear mRNA splicing, via spliceosome",GTPase activity*,YKL173W,1080994,G,0.1,0.32
SSL2,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity*,YIL143C,1086385,G,0.1,0.44
,biological process unknown,molecular function unknown,YDL199C,1084574,G,0.1,0.7
PEX5,peroxisome organization and biogenesis*,peroxisome targeting sequence binding*,YDR244W,1084235,G,0.1,0.58
RAD26,nucleotide-excision repair*,DNA-dependent ATPase activity,YJR035W,1083627,G,0.1,0.35
,biological process unknown,transporter activity,YHL008C,1082447,G,0.1,0.29
TSC11,cell wall organization and biogenesis*,protein binding,YER093C,1085853,G,0.1,0.08
SBA1,protein folding,chaperone binding,YKL117W,1085582,G,0.1,0.41
MET4,positive regulation of transcription from RNA polymerase II promoter*,transcription coactivator activity,YNL103W,1082772,G,0.1,0.43
MET30,protein ubiquitination*,protein binding,YIL046W,1084602,G,0.1,0.6
HSV2,biological process unknown,phosphoinositide binding,YGR223C,1085783,G,0.1,0.44
,biological process unknown,molecular function unknown,YOL036W,1084546,G,0.1,0.13
PKH2,protein amino acid phosphorylation*,protein kinase activity,YOL100W,1083444,G,0.1,0.42
PRP5,U2-type nuclear mRNA branch site recognition,"RNA splicing factor activity, transesterification mechanism*",YBR237W,1080954,G,0.1,0.55
,RNA elongation from RNA polymerase II promoter,molecular function unknown,YOL054W,1082234,G,0.1,0.1
IES2,biological process unknown,molecular function unknown,YNL215W,1086763,G,0.1,0.42
,biological process unknown,molecular function unknown,YBR255W,1083053,G,0.1,0.22
YTA7,protein catabolism,ATPase activity,YGR270W,1082217,G,0.1,0.09
TPM1,actin filament organization*,actin lateral binding,YNL079C,1086289,G,0.1,0.22
RTT101,ubiquitin-dependent protein catabolism*,protein binding*,YJL047C,1081999,G,0.1,0.37
KIN1,exocytosis,protein kinase activity,YDR122W,1086468,G,0.1,0.21
BOI2,establishment of cell polarity (sensu Fungi)*,phospholipid binding,YER114C,1080837,G,0.1,-0.04
,biological process unknown,molecular function unknown,YOR227W,1084004,G,0.1,0.26
PET10,aerobic respiration,molecular function unknown,YKR046C,1081938,G,0.1,1.1
AZF1,"regulation of transcription, DNA-dependent*",DNA binding*,YOR113W,1081998,G,0.1,0.62
HAL9,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YOL089C,1085598,G,0.1,0.57
SPT23,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*,YKL020C,1086358,G,0.1,0.2
PIB1,protein ubiquitination,ubiquitin-protein ligase activity,YDR313C,1084186,G,0.1,1.1
GLC8,glycogen biosynthesis,enzyme activator activity,YMR311C,1082078,G,0.1,0.23
PET20,biological process unknown,molecular function unknown,YPL159C,1085896,G,0.1,0.51
MEC3,chromatin silencing at telomere*,DNA binding,YLR288C,1084615,G,0.1,0.25
NUP53,mRNA-nucleus export*,structural molecule activity,YMR153W,1085524,G,0.1,0.13
STB3,biological process unknown,molecular function unknown,YDR169C,1086336,G,0.1,0.11
HSE1,protein-vacuolar targeting,protein binding,YHL002W,1086292,G,0.1,0.05
HSF1,regulation of transcription from RNA polymerase II promoter*,transcription factor activity,YGL073W,1082183,G,0.1,0.13
CHS5,spore wall assembly (sensu Fungi)*,molecular function unknown,YLR330W,1084909,G,0.1,0.05
SRO7,exocytosis*,molecular function unknown,YPR032W,1086569,G,0.1,-0.01
CBK1,regulation of exit from mitosis*,protein kinase activity,YNL161W,1082451,G,0.1,0.17
LEU3,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YLR451W,1082876,G,0.1,0.12
THI21,thiamin biosynthesis,phosphomethylpyrimidine kinase activity*,YPL258C,1081469,G,0.1,0.54
FAR11,cell cycle arrest in response to pheromone,molecular function unknown,YNL127W,1084728,G,0.1,0.24
,biological process unknown,molecular function unknown,YDL099W,1085169,G,0.1,0.19
MSS11,pseudohyphal growth*,specific RNA polymerase II transcription factor activity,YMR164C,1082107,G,0.1,0.79
RCR2,biological process unknown,molecular function unknown,YDR003W,1084276,G,0.1,1
VMA4,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",YOR332W,1083446,G,0.1,-0.27
SYT1,vesicle-mediated transport*,ARF guanyl-nucleotide exchange factor activity,YPR095C,1081445,G,0.1,0.26
,biological process unknown,molecular function unknown,YBR052C,1086276,G,0.1,0.22
MAD2,mitotic spindle checkpoint,molecular function unknown,YJL030W,1084020,G,0.1,0.38
,,,YNL276C,1085386,G,0.1,0.11
SPT20,histone acetylation*,transcription cofactor activity,YOL148C,1086625,G,0.1,-0.07
SAC3,mRNA-nucleus export*,protein binding,YDR159W,1084474,G,0.1,0.02
,biological process unknown,molecular function unknown,YGR042W,1086654,G,0.1,0.14
,biological process unknown,molecular function unknown,YLR283W,1085832,G,0.1,0.25
,biological process unknown,molecular function unknown,YGR016W,1081804,G,0.1,0.34
NAT3,mitochondrion inheritance*,peptide alpha-N-acetyltransferase activity,YPR131C,1082219,G,0.1,0.62
VPS25,protein-vacuolar targeting*,molecular function unknown,YJR102C,1086037,G,0.1,0.35
RTA1,biological process unknown,molecular function unknown,YGR213C,1084629,G,0.1,1.43
CSE2,transcription from RNA polymerase II promoter*,RNA polymerase II transcription mediator activity,YNR010W,1080706,G,0.1,0.43
MSB3,actin filament organization*,Rab GTPase activator activity,YNL293W,1084379,G,0.1,0.54
,biological process unknown,molecular function unknown,YJL070C,1083579,G,0.1,0.59
